,News,Classification
0,Both operating profit and sales for the three-month period increased  respectively from EUR0 .3 m and EUR13 .1 m  as compared to the corresponding period in 2005 .,positive
1,`` The combined activities will create value for shareholders and be good for our employees and customers .,positive
2,Operating margin  however  slipped to 14.4 % from 15.1 %  dragged down by a poor performance in enterprise solutions .,negative
3,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive
4,GE is building the facility with wind power developer Invenergy Wind LLC .,neutral
5,Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,negative
6,The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad  mainly in the US and Asia .,neutral
7,Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit  which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .,negative
8,Stockholm  3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .,neutral
9,Cencorp would focus on the development  manufacture and marketing of standard products for production automation .,neutral
10,PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant  and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .,neutral
11,The segment has an annual revenue of approximately EUR400m  the company said .,neutral
12,As a result  it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .,neutral
13,Deliveries have started and the network will be ready for a launch soon .,positive
14,Lember said the matter was topical also in Estonia  where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .,neutral
15,By 14:29 CET on Monday  shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .,positive
16,This could be any of us at any time  '' she said .,neutral
17,The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,neutral
18,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,positive
19,In addition  the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .,neutral
20,EPS for the quarter was EUR0 .00  as compared with EUR0 .01 in the third quarter of 2008  representing a Group net sales for the third quarter were EUR15 .3 m  up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .,positive
21,Sales by Seppala diminished by 6 per cent .,negative
22,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,positive
23,`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',positive
24,Talvik says the relocation of application programs on servers will continue  while HP servers were approved because of HP supplying a tailor-made solution to Elisa .,neutral
25,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive
26,treatment products in Usa  Canada  Mexico  Australia and Brazil Today  Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .,neutral
27,The company designs  manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country  alpine and Nordic Walking poles  floorball sticks and antenna radomes .,neutral
28,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive
29,The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,negative
30,The EB Tough VoIP Field Phone is equipped with an integrated speaker  Ethernet and SHDSL connectivity  and enables several innovative applications .,neutral
31,Its market share is 6 percent according to AC Nielsen 's 2008 data .,neutral
32,In addition to its stake in MegaFon  Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones  51 % in telecom equipment producer Peter-Servis and a number of other minor assets .,neutral
33,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive
34,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral
35,In the Czech Republic  the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary  Poland and Romania by the end of the first quarter of 2009 .,neutral
36,Sponda is a property investment company  specialising in commercial properties in the largest cities in Finland and Russia .,neutral
37,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral
38,Amer Sports divests an industrial site in Rumilly  France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral
39,The refining margin for the year was $ 13.39 - bbl  compared to $ 10.46 - bbl in the prior year .,positive
40,www.countryelements.co.uk Designed by Patricia Burt  this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .,neutral
41,Export declined by 6 percent to 16.4 million liters .,negative
42,The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4  2007 .,neutral
43,According to business media reports  Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest  in exchange for a stake in the merged RosTelecom .,neutral
44,The original patent was filed in Finland under application No. .,neutral
45,Cargo volume grew by 7 % .,positive
46,The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,neutral
47,The Estonian electronic components factory  Elcoteq  is running out of material because of the closure of air traffic .,negative
48,( ADPnews ) - Dec 1  2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .,negative
49,Harold W. Young is an independent broker working closely with several retailers including Ahold USA  Market Basket  CVS  BJ 's Wholesale Club  Hannaford and Cumberland Farms .,neutral
50,The maximum number of new shares to be offered is 22 million .,neutral
51,The donations are granted to Aalto University and the universities of Helsinki  Tampere  Turku  Eastern Finland  Jyv+ñskyl+ñ  Oulu and Vaasa  and to polytechnics to be announced later .,neutral
52,The store is located in Poznan in a shopping center named Pestka  the company added .,neutral
53,The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees  the company said .,neutral
54,Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005  an increase of 4.5 percent on the previous year  the airline reported Tuesday .,positive
55,He joins Technopolis from KONE where he has held various positions within the Group  most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .,neutral
56,Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m  or 12.2 %  of the sales came from the acquisitions made in 2009 .,positive
57,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,positive
58,The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,neutral
59,The company is involved in the the sale of financial products including insurance  mortgages  car and personal loans  financial brokerage and equipment finance leasing .,neutral
60,`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,neutral
61,The solution will be installed in the USA to support the North American operations of the customer .,neutral
62,These include software development for internet and mobile telephone content  communications  value-added software  financial services  security applications  systems integration and electronics .,neutral
63,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,positive
64,The selling consortium includes funds managed by OKO Bank 's venture capital unit  Bio Fund Management and Finnish Industry Investment  a government-owned investment group .,neutral
65,In June it sold a 30 percent stake to Nordstjernan  and the investment group has now taken up the option to acquire EQT 's remaining shares .,neutral
66,The agreement must be approved by the Russian competition authorities before it enters into force .,neutral
67,In the second quarter of 2010  the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .,positive
68,With the acquisition  the company will expand its offering to North  Central and South America  it said .,positive
69,Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,positive
70,Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October  the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga  which has won passengers from the Helsinki-Stockholm route .,negative
71,Thanks to the multiplying effect of wagon performance  transport will be much more efficient  '' says development manager Juha Malkia from VR Cargo .,positive
72,Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27  and above market expectations of 0.28 eur .,positive
73,The changes will take effect on 1 January 2010  and they are not estimated to have an impact on the number of employees .,neutral
